user_prompt,cache,precision,exc_time1,kg_cache,precision_with_kg,exc_time2,diff_precision
Tell me the social drama movie.,Which movie was credited as a social drama feature film?,0.7888484001159668,0.4462,movie credited as social drama feature film,0.9336510896682739,0.11378,0.14480269
Which movie was published on April?,What movie was released on April?,0.8549842238426208,0.03175,film released on april,0.9172471761703491,0.06564,0.062262952
Is there any specific purpose why a movie scene shot with paper film?,What was the purpose of filming a movie scene on paper film?,0.8827565908432007,0.01928,movie shot on paper film,0.8825507164001465,0.05076,-0.000205874
Give me a list of musics that won the Film Institute Award.,What was the movie that won the Film Institute Award?,0.7516112327575684,0.01193,movie won film institute award,0.8987390995025635,0.03733,0.147127867
Wallfisch released a music in 2004. What is it?,Which musical composition by Benjamin Wallfisch was released in 2004?,0.6988750696182251,0.01151,music composed by benjamin wallfisch,0.8809501528739929,0.03562,0.182075083
List for me the most popular music by Aditya Music.,Which music released by Aditya Music Company was the most popular?,0.7927078604698181,0.01238,music released by aditya music company,0.9236912727355957,0.03576,0.130983412
Why some movies can received no negative reviews?,How did the music received positive reviews?,0.5647660493850708,0.01204,film met with negative negative reviews,0.5733124017715454,0.03638,0.008546352
Give me the music released in June.,What was the soundtrack released digitally June?,0.6909168362617493,0.01114,soundtrack released digitally june,0.8850709199905396,0.03575,0.194154084
I want to know what are soundtracks created by A. Ravichander.,What is the name of the soundtracks composed by Anirudh Ravichander?,0.8287472724914551,0.01235,soundtrack composed by anirudh ravichander,0.9389210939407349,0.03798,0.110173821
What are songs registered in the US National Recording?,Which song was added to the Soundtrack of the United States National Recording Registry?,0.7386161684989929,0.01192,soundtrack added to united states national recording registry,0.8885384798049927,0.03714,0.149922311
What are movies registered in the US National Recording?,Which song was added to the Soundtrack of the United States National Recording Registry?,0.5823609232902527,0.01184,soundtrack added to united states national recording registry,0.8162550330162048,0.03621,0.23389411
What are sports registered in the US National Recording?,Which song was added to the Soundtrack of the United States National Recording Registry?,0.47212088108062744,0.01121,soundtrack added to united states national recording registry,0.7891736626625061,0.03673,0.317052782
songs US National registered Recording in?,Which song was added to the Soundtrack of the United States National Recording Registry?,0.7384462356567383,0.01187,soundtrack added to united states national recording registry,0.8835024237632751,0.03609,0.145056188
